DATE,PRCP,TMAX,TMIN,RAIN
4/27/1948,0,53,31,FALSE
4/28/1948,0.05,45,38,TRUE
4/29/1948,0,54,33,FALSE
4/30/1948,0.16,56,35,TRUE
5/1/1948,0.01,58,38,TRUE
5/2/1948,0.08,57,35,TRUE
5/3/1948,0.59,53,42,TRUE
5/4/1948,0,57,42,FALSE
5/5/1948,0.56,55,45,TRUE
5/6/1948,0.27,58,42,TRUE
5/7/1948,0,59,40,FALSE
5/8/1948,0.02,54,42,TRUE
5/9/1948,0,52,41,FALSE
5/10/1948,0.26,57,43,TRUE
5/11/1948,0,63,44,FALSE
5/12/1948,0.39,56,42,TRUE
5/13/1948,0.14,55,43,TRUE
5/14/1948,0.03,58,43,TRUE
5/15/1948,0,64,43,FALSE
5/16/1948,0.29,60,47,TRUE
5/17/1948,0,62,43,FALSE
5/18/1948,0.01,60,45,TRUE
5/19/1948,0.1,60,40,TRUE
5/20/1948,0,73,44,FALSE
5/21/1948,0,62,47,FALSE
5/22/1948,0,65,48,FALSE
5/23/1948,0,66,50,FALSE
5/24/1948,0,80,51,FALSE
5/25/1948,0,73,51,FALSE
5/26/1948,0,69,48,FALSE
5/27/1948,0.83,60,50,TRUE
5/28/1948,0.88,53,48,TRUE
5/29/1948,0.3,58,48,TRUE
5/30/1948,0,69,44,FALSE
5/31/1948,0,77,46,FALSE
6/1/1948,0,71,46,FALSE
6/2/1948,0,76,49,FALSE
6/3/1948,0.01,67,52,TRUE
6/4/1948,0,70,49,FALSE
6/5/1948,0,75,48,FALSE
6/6/1948,0,82,53,FALSE
6/7/1948,0,87,59,FALSE
6/8/1948,0,87,60,FALSE
6/9/1948,0,81,57,FALSE
6/10/1948,0,76,55,FALSE
6/11/1948,0.92,60,53,TRUE
6/12/1948,0.18,68,50,TRUE
6/13/1948,0.11,68,51,TRUE
6/14/1948,0,72,50,FALSE
6/15/1948,0,71,50,FALSE
6/16/1948,0.09,60,52,TRUE
6/17/1948,0.01,66,51,TRUE
6/18/1948,0,71,50,FALSE
6/19/1948,0,68,52,FALSE
6/20/1948,0.76,60,52,TRUE
6/21/1948,0.01,63,50,TRUE
6/22/1948,0,62,49,FALSE
6/23/1948,0,70,47,FALSE
6/24/1948,0,64,50,FALSE
6/25/1948,0,64,48,FALSE
6/26/1948,0,74,50,FALSE
6/27/1948,0,79,52,FALSE
6/28/1948,0,82,57,FALSE
6/29/1948,0,83,56,FALSE
6/30/1948,0,74,53,FALSE
7/1/1948,0,69,45,FALSE
7/2/1948,0,70,44,FALSE
7/3/1948,0,77,47,FALSE
7/4/1948,0.24,66,49,TRUE
7/5/1948,0.27,67,50,TRUE
7/6/1948,0.44,71,51,TRUE
7/7/1948,0.09,66,51,TRUE
7/8/1948,0,71,48,FALSE
7/9/1948,0,78,51,FALSE
7/10/1948,0,73,55,FALSE
7/11/1948,0,71,54,FALSE
7/12/1948,0,72,50,FALSE
7/13/1948,0,76,50,FALSE
7/14/1948,0,77,51,FALSE
7/15/1948,0,82,51,FALSE
7/16/1948,0,80,55,FALSE
7/17/1948,0,82,55,FALSE
7/18/1948,0.05,61,54,TRUE
7/19/1948,0.09,64,55,TRUE
7/20/1948,0,67,54,FALSE
7/21/1948,0,74,55,FALSE
7/22/1948,0,71,53,FALSE
7/23/1948,0.01,71,53,TRUE
7/24/1948,0,72,49,FALSE
7/25/1948,0,79,48,FALSE
7/26/1948,0.34,80,52,TRUE
7/27/1948,0,67,51,FALSE
7/28/1948,0,71,53,FALSE
7/29/1948,0,74,51,FALSE
7/30/1948,0,80,57,FALSE
7/31/1948,0,88,57,FALSE
8/1/1948,0,75,54,FALSE
8/2/1948,0,68,55,FALSE
8/3/1948,0.01,68,55,TRUE
8/4/1948,0,64,50,FALSE
8/5/1948,0.36,63,49,TRUE
8/6/1948,0,70,51,FALSE
8/7/1948,0,70,48,FALSE
8/8/1948,0,75,51,FALSE
8/9/1948,0,71,55,FALSE
8/10/1948,0,69,54,FALSE
8/11/1948,0,64,53,FALSE
8/12/1948,0,74,56,FALSE
8/13/1948,0.06,65,53,TRUE
8/14/1948,0,68,49,FALSE
8/15/1948,0.41,68,53,TRUE
8/16/1948,0.05,70,54,TRUE
8/17/1948,0.07,74,55,TRUE
8/18/1948,0,73,55,FALSE
8/19/1948,0,68,52,FALSE
8/20/1948,0.01,64,52,TRUE
8/21/1948,0.11,65,55,TRUE
8/22/1948,0.01,70,54,TRUE
8/23/1948,0.11,69,50,TRUE
8/24/1948,0.34,62,53,TRUE
8/25/1948,0,72,55,FALSE
8/26/1948,0.01,72,52,TRUE
8/27/1948,0.24,61,53,TRUE
8/28/1948,0,80,55,FALSE
8/29/1948,0.05,75,57,TRUE
8/30/1948,0.03,70,54,TRUE
8/31/1948,0,73,51,FALSE
9/1/1948,0,74,50,FALSE
9/2/1948,0.08,69,52,TRUE
9/3/1948,0.05,70,51,TRUE
9/4/1948,0,68,50,FALSE
9/5/1948,0,70,45,FALSE
9/6/1948,0,70,45,FALSE
9/7/1948,0,73,50,FALSE
9/8/1948,0,78,56,FALSE
9/9/1948,0,81,57,FALSE
9/10/1948,0,81,55,FALSE
9/11/1948,0,76,54,FALSE
9/12/1948,0,75,52,FALSE
9/13/1948,0,76,52,FALSE
9/14/1948,0.08,67,50,TRUE
9/15/1948,0.47,64,49,TRUE
9/16/1948,0,63,45,FALSE
9/17/1948,0,68,45,FALSE
9/18/1948,0,70,41,FALSE
9/19/1948,0,70,47,FALSE
9/20/1948,0,69,52,FALSE
9/21/1948,0.34,61,49,TRUE
9/22/1948,0.36,51,43,TRUE
9/23/1948,0.07,54,40,TRUE
9/24/1948,0,58,38,FALSE
9/25/1948,0,59,37,FALSE
9/26/1948,1.51,49,44,TRUE
9/27/1948,0.06,69,44,TRUE
9/28/1948,0.83,59,42,TRUE
9/29/1948,0,57,39,FALSE
9/30/1948,0,63,41,FALSE
10/1/1948,0,76,41,FALSE
10/2/1948,0.03,69,48,TRUE
10/3/1948,0.35,64,52,TRUE
10/4/1948,0.21,61,45,TRUE
10/5/1948,0,55,42,FALSE
10/6/1948,0.14,59,45,TRUE
10/7/1948,0.03,64,46,TRUE
10/8/1948,0,62,41,FALSE
10/9/1948,0,69,38,FALSE
10/10/1948,0.66,55,48,TRUE
10/11/1948,0,56,43,FALSE
10/12/1948,0,57,42,FALSE
10/13/1948,0,54,39,FALSE
10/14/1948,0,58,42,FALSE
10/15/1948,0,56,38,FALSE
10/16/1948,0,60,41,FALSE
10/17/1948,0,65,40,FALSE
10/18/1948,0,67,42,FALSE
10/19/1948,0,62,43,FALSE
10/20/1948,0,63,40,FALSE
10/21/1948,0,57,43,FALSE
10/22/1948,0,61,45,FALSE
10/23/1948,0.19,59,44,TRUE
10/24/1948,0.13,60,44,TRUE
10/25/1948,0.18,56,42,TRUE
10/26/1948,0.04,54,36,TRUE
10/27/1948,0,55,32,FALSE
10/28/1948,0.09,44,35,TRUE
10/29/1948,0,54,40,FALSE
10/30/1948,0.2,46,43,TRUE
10/31/1948,0.08,46,41,TRUE
11/1/1948,0,47,37,FALSE
11/2/1948,0.66,49,41,TRUE
11/3/1948,0.07,53,36,TRUE
11/4/1948,0.18,50,35,TRUE
11/5/1948,0.09,51,39,TRUE
11/6/1948,0,52,34,FALSE
11/7/1948,0,46,34,FALSE
11/8/1948,0,46,27,FALSE
11/9/1948,0,45,27,FALSE
11/10/1948,0,46,30,FALSE
11/11/1948,0,42,31,FALSE
11/12/1948,0.07,45,38,TRUE
11/13/1948,0.15,48,41,TRUE
11/14/1948,0.87,50,41,TRUE
11/15/1948,0.43,46,39,TRUE
11/16/1948,0.67,47,37,TRUE
11/17/1948,0.07,47,35,TRUE
11/18/1948,0.07,45,34,TRUE
11/19/1948,0.22,47,39,TRUE
11/20/1948,0.09,50,41,TRUE
11/21/1948,0.03,48,40,TRUE
11/22/1948,0,55,40,FALSE
11/23/1948,0.33,50,41,TRUE
11/24/1948,0.05,50,42,TRUE
11/25/1948,0.54,48,32,TRUE
11/26/1948,0,45,32,FALSE
11/27/1948,0.49,48,36,TRUE
11/28/1948,0.49,46,36,TRUE
11/29/1948,0.2,45,37,TRUE
11/30/1948,0.29,45,39,TRUE
12/1/1948,0.78,46,38,TRUE
12/2/1948,0,44,34,FALSE
12/3/1948,0.01,41,31,TRUE
12/4/1948,0.11,39,30,TRUE
12/5/1948,0.35,41,33,TRUE
12/6/1948,0.25,42,36,TRUE
12/7/1948,0.29,39,35,TRUE
12/8/1948,0.39,38,32,TRUE
12/9/1948,0.84,45,34,TRUE
12/10/1948,0.16,46,39,TRUE
12/11/1948,0.17,42,38,TRUE
12/12/1948,0.02,42,35,TRUE
12/13/1948,0.3,37,33,TRUE
12/14/1948,0.02,39,33,TRUE
12/15/1948,0.01,39,31,TRUE
12/16/1948,0,45,29,FALSE
12/17/1948,0,36,24,FALSE
12/18/1948,0,37,24,FALSE
12/19/1948,0.73,45,36,TRUE
12/20/1948,0,45,32,FALSE
12/21/1948,0,39,31,FALSE
12/22/1948,0.16,37,28,TRUE
12/23/1948,0,42,19,FALSE
12/24/1948,0,36,16,FALSE
12/25/1948,0,40,29,FALSE
12/26/1948,0,47,22,FALSE
12/27/1948,0,34,21,FALSE
12/28/1948,0.33,45,31,TRUE
12/29/1948,0.29,43,34,TRUE
12/30/1948,0.46,44,35,TRUE
12/31/1948,0.46,41,32,TRUE
1/1/1949,0,35,26,FALSE
1/2/1949,0.03,40,22,TRUE
1/3/1949,0,40,17,FALSE
1/4/1949,0,42,20,FALSE
1/5/1949,0,41,28,FALSE
1/6/1949,0.03,49,37,TRUE
1/7/1949,0.52,46,26,TRUE
1/8/1949,0,30,18,FALSE
1/9/1949,0,32,13,FALSE
1/10/1949,0,30,12,FALSE
1/11/1949,0,37,17,FALSE
1/12/1949,0,36,19,FALSE
1/13/1949,0,41,19,FALSE
1/14/1949,0,36,25,FALSE
1/15/1949,0,46,28,FALSE
1/16/1949,0,43,26,FALSE
1/17/1949,0.03,43,33,TRUE
1/18/1949,0.02,35,29,TRUE
1/19/1949,0,35,24,FALSE
1/20/1949,0,30,20,FALSE
1/21/1949,0.03,35,22,TRUE
1/22/1949,0.01,33,21,TRUE
1/23/1949,0,30,16,FALSE
1/24/1949,0,29,17,FALSE
1/25/1949,0,39,17,FALSE
1/26/1949,0.1,31,26,TRUE
1/27/1949,0,35,24,FALSE
1/28/1949,0,41,16,FALSE
1/29/1949,0,40,26,FALSE
1/30/1949,0,38,28,FALSE
1/31/1949,0,37,29,FALSE
2/1/1949,0,37,23,FALSE
2/2/1949,0.1,33,25,TRUE
2/3/1949,0.03,35,27,TRUE
2/4/1949,0.11,33,24,TRUE
2/5/1949,0.06,35,21,TRUE
2/6/1949,0.06,37,31,TRUE
2/7/1949,0,38,31,FALSE
2/8/1949,0,41,33,FALSE
2/9/1949,0.43,43,34,TRUE
2/10/1949,0.96,43,30,TRUE
2/11/1949,0.02,37,27,TRUE
2/12/1949,0,32,21,FALSE
2/13/1949,0,34,18,FALSE
2/14/1949,0.18,38,30,TRUE
2/15/1949,0.12,42,33,TRUE
2/16/1949,1.83,48,41,TRUE
2/17/1949,0.07,46,33,TRUE
2/18/1949,0.01,40,31,TRUE
2/19/1949,0.32,33,29,TRUE
2/20/1949,0.15,39,26,TRUE
2/21/1949,0.97,47,36,TRUE
2/22/1949,0.47,50,44,TRUE
2/23/1949,0,59,39,FALSE
2/24/1949,0,62,37,FALSE
2/25/1949,0,62,35,FALSE
2/26/1949,0,62,34,FALSE
2/27/1949,0,62,32,FALSE
2/28/1949,0,66,30,FALSE
3/1/1949,0,55,38,FALSE
3/2/1949,0,54,41,FALSE
3/3/1949,0,61,38,FALSE
3/4/1949,0,58,34,FALSE
3/5/1949,0,57,38,FALSE
3/6/1949,0,53,41,FALSE
3/7/1949,0,48,40,FALSE
3/8/1949,0.06,48,38,TRUE
3/9/1949,0,54,33,FALSE
3/10/1949,0,56,39,FALSE
3/11/1949,0,60,41,FALSE
3/12/1949,0.6,47,43,TRUE
3/13/1949,0.08,49,41,TRUE
3/14/1949,0.19,48,41,TRUE
3/15/1949,0.06,54,38,TRUE
3/16/1949,0.34,55,42,TRUE
3/17/1949,0.28,58,43,TRUE
3/18/1949,0.33,63,44,TRUE
3/19/1949,0.65,55,44,TRUE
3/20/1949,0.27,48,41,TRUE
3/21/1949,0,52,37,FALSE
3/22/1949,0,53,33,FALSE
3/23/1949,0,55,33,FALSE
3/24/1949,0,54,36,FALSE
3/25/1949,0.16,53,38,TRUE
3/26/1949,0.03,52,37,TRUE
3/27/1949,0,52,32,FALSE
3/28/1949,0,51,30,FALSE
3/29/1949,0.49,43,35,TRUE
3/30/1949,0,49,35,FALSE
3/31/1949,0,55,30,FALSE
4/1/1949,0.07,46,38,TRUE
4/2/1949,0,55,38,FALSE
4/3/1949,0,62,34,FALSE
4/4/1949,0,72,40,FALSE
4/5/1949,0.02,57,40,TRUE
4/6/1949,0,64,36,FALSE
4/7/1949,0,51,38,FALSE
4/8/1949,0,60,43,FALSE
4/9/1949,0,71,41,FALSE
4/10/1949,0,67,43,FALSE
4/11/1949,0,58,43,FALSE
4/12/1949,0,58,42,FALSE
4/13/1949,0,55,40,FALSE
4/14/1949,0,73,35,FALSE
4/15/1949,0,71,42,FALSE
4/16/1949,0,58,45,FALSE
4/17/1949,0,54,39,FALSE
4/18/1949,0,53,45,FALSE
4/19/1949,0.2,55,43,TRUE
4/20/1949,0.23,57,43,TRUE
4/21/1949,0.01,54,42,TRUE
4/22/1949,0.25,55,40,TRUE
4/23/1949,0.16,58,43,TRUE
4/24/1949,0,59,41,FALSE
4/25/1949,0.01,59,43,TRUE
4/26/1949,0,69,40,FALSE
4/27/1949,0.06,63,43,TRUE
4/28/1949,0.1,61,46,TRUE
4/29/1949,0,52,39,FALSE
4/30/1949,0.07,55,38,TRUE
5/1/1949,0.81,52,43,TRUE
5/2/1949,0.11,54,40,TRUE
5/3/1949,0,56,37,FALSE
5/4/1949,0,59,38,FALSE
5/5/1949,0,72,36,FALSE
5/6/1949,0,70,46,FALSE
5/7/1949,0,77,47,FALSE
5/8/1949,0,77,47,FALSE
5/9/1949,0,74,46,FALSE
5/10/1949,0,73,44,FALSE
5/11/1949,0,80,48,FALSE
5/12/1949,0,78,51,FALSE
5/13/1949,0,77,50,FALSE
5/14/1949,0,76,47,FALSE
5/15/1949,0,65,49,FALSE
5/16/1949,0,59,45,FALSE
5/17/1949,0,65,45,FALSE
5/18/1949,0,78,48,FALSE
5/19/1949,0.27,61,47,TRUE
5/20/1949,0,68,48,FALSE
5/21/1949,0,70,48,FALSE
5/22/1949,0,71,52,FALSE
5/23/1949,0,76,48,FALSE
5/24/1949,0,68,51,FALSE
5/25/1949,0,71,47,FALSE
5/26/1949,0,71,46,FALSE
5/27/1949,0.1,61,51,TRUE
5/28/1949,0,65,47,FALSE
5/29/1949,0,67,45,FALSE
5/30/1949,0,66,47,FALSE
5/31/1949,0.01,64,47,TRUE
6/1/1949,0.06,64,47,TRUE
6/2/1949,0,67,46,FALSE
6/3/1949,0,74,45,FALSE
6/4/1949,0,80,50,FALSE
6/5/1949,0,84,52,FALSE
6/6/1949,0,83,53,FALSE
6/7/1949,0,72,45,FALSE
6/8/1949,0,79,47,FALSE
6/9/1949,0.07,76,50,TRUE
6/10/1949,0,68,52,FALSE
6/11/1949,0,74,47,FALSE
6/12/1949,0,74,46,FALSE
6/13/1949,0,74,47,FALSE
6/14/1949,0,80,47,FALSE
6/15/1949,0,68,43,FALSE
6/16/1949,0.09,65,44,TRUE
6/17/1949,0.16,73,44,TRUE
6/18/1949,0,77,46,FALSE
6/19/1949,0.02,66,49,TRUE
6/20/1949,0.03,71,52,TRUE
6/21/1949,0,74,49,FALSE
6/22/1949,0,63,51,FALSE
6/23/1949,0,68,51,FALSE
6/24/1949,0.01,64,47,TRUE
6/25/1949,0.01,64,45,TRUE
6/26/1949,0.28,63,46,TRUE
6/27/1949,0.01,61,45,TRUE
6/28/1949,0.17,61,45,TRUE
6/29/1949,0.02,64,45,TRUE
6/30/1949,0,73,43,FALSE
7/1/1949,0,70,45,FALSE
7/2/1949,0,72,48,FALSE
7/3/1949,0,75,45,FALSE
7/4/1949,0,72,43,FALSE
7/5/1949,0,68,50,FALSE
7/6/1949,0,69,45,FALSE
7/7/1949,0,74,50,FALSE
7/8/1949,0,80,49,FALSE
7/9/1949,0,83,54,FALSE
7/10/1949,0,82,50,FALSE
7/11/1949,0,75,52,FALSE
7/12/1949,0,83,49,FALSE
7/13/1949,0,86,50,FALSE
7/14/1949,0,85,57,FALSE
7/15/1949,0,78,55,FALSE
7/16/1949,0,72,54,FALSE
7/17/1949,0,77,51,FALSE
7/18/1949,0.07,68,53,TRUE
7/19/1949,0.07,66,53,TRUE
7/20/1949,0,69,52,FALSE
7/21/1949,0,71,50,FALSE
7/22/1949,0,68,54,FALSE
7/23/1949,0.54,66,55,TRUE
7/24/1949,0.05,70,52,TRUE
7/25/1949,0.11,62,54,TRUE
7/26/1949,0.11,65,51,TRUE
7/27/1949,0.09,69,50,TRUE
7/28/1949,0,75,51,FALSE
7/29/1949,0,80,51,FALSE
7/30/1949,0,80,55,FALSE
7/31/1949,0,86,56,FALSE
8/1/1949,0,92,62,FALSE
8/2/1949,0,74,55,FALSE
8/3/1949,0,71,55,FALSE
8/4/1949,0.02,73,55,TRUE
8/5/1949,0,74,53,FALSE
8/6/1949,0.08,66,54,TRUE
8/7/1949,0.01,67,53,TRUE
8/8/1949,0,73,54,FALSE
8/9/1949,0,74,51,FALSE
8/10/1949,0,73,53,FALSE
8/11/1949,0.01,70,57,TRUE
8/12/1949,0.06,68,49,TRUE
8/13/1949,0,72,51,FALSE
8/14/1949,0,71,48,FALSE
8/15/1949,0,78,50,FALSE
8/16/1949,0,72,58,FALSE
8/17/1949,0,77,54,FALSE
8/18/1949,0,77,52,FALSE
8/19/1949,0,81,50,FALSE
8/20/1949,0,73,52,FALSE
8/21/1949,0,73,55,FALSE
8/22/1949,0,75,49,FALSE
8/23/1949,0,76,50,FALSE
8/24/1949,0.25,70,49,TRUE
8/25/1949,0,71,53,FALSE
8/26/1949,0,76,48,FALSE
8/27/1949,0,80,52,FALSE
8/28/1949,0,85,56,FALSE
8/29/1949,0,83,55,FALSE
8/30/1949,0.02,68,53,TRUE
8/31/1949,0,75,55,FALSE
9/1/1949,0,78,50,FALSE
9/2/1949,0,77,51,FALSE
9/3/1949,0,82,59,FALSE
9/4/1949,0,83,62,FALSE
9/5/1949,0,81,61,FALSE
9/6/1949,0,87,55,FALSE
9/7/1949,0,85,53,FALSE
9/8/1949,0,75,51,FALSE
9/9/1949,0,70,54,FALSE
9/10/1949,0,67,53,FALSE
9/11/1949,0,68,45,FALSE
9/12/1949,0,76,44,FALSE
9/13/1949,0,79,47,FALSE
9/14/1949,0.73,61,52,TRUE
9/15/1949,0.35,60,51,TRUE
9/16/1949,0.23,62,48,TRUE
9/17/1949,0,61,47,FALSE
9/18/1949,0.08,63,51,TRUE
9/19/1949,0.02,62,49,TRUE
9/20/1949,0,65,40,FALSE
9/21/1949,0,68,46,FALSE
9/22/1949,0,73,44,FALSE
9/23/1949,0,73,46,FALSE
9/24/1949,0,60,51,FALSE
9/25/1949,0,66,51,FALSE
9/26/1949,0,77,46,FALSE
9/27/1949,0,82,50,FALSE
9/28/1949,0,64,54,FALSE
9/29/1949,0,65,55,FALSE
9/30/1949,0.02,60,49,TRUE
10/1/1949,0,65,49,FALSE
10/2/1949,0,65,43,FALSE
10/3/1949,0.14,56,39,TRUE
10/4/1949,0.74,54,47,TRUE
10/5/1949,0,61,44,FALSE
10/6/1949,0.2,53,42,TRUE
10/7/1949,0.15,57,41,TRUE
10/8/1949,0,53,39,FALSE
10/9/1949,0.18,60,43,TRUE
10/10/1949,0.12,56,41,TRUE
10/11/1949,0.04,59,46,TRUE
10/12/1949,0,60,43,FALSE
10/13/1949,0,57,37,FALSE
10/14/1949,0,63,36,FALSE
10/15/1949,0.2,59,42,TRUE
10/16/1949,0,53,41,FALSE
10/17/1949,0.05,51,34,TRUE
10/18/1949,0,48,32,FALSE
10/19/1949,0,50,28,FALSE
10/20/1949,0,53,29,FALSE
10/21/1949,0,55,32,FALSE
10/22/1949,0,60,39,FALSE
10/23/1949,0,47,41,FALSE
10/24/1949,0,52,42,FALSE
10/25/1949,0,48,42,FALSE
10/26/1949,0.17,52,44,TRUE
10/27/1949,1.17,57,48,TRUE
10/28/1949,0.69,58,48,TRUE
10/29/1949,0,57,41,FALSE
10/30/1949,0,65,41,FALSE
10/31/1949,0,71,42,FALSE
11/1/1949,0,63,40,FALSE
11/2/1949,0,69,38,FALSE
11/3/1949,0,69,38,FALSE
11/4/1949,0,74,41,FALSE
11/5/1949,0,65,40,FALSE
11/6/1949,0,55,39,FALSE
11/7/1949,0.01,52,38,TRUE
11/8/1949,0.06,51,44,TRUE
11/9/1949,0.26,51,39,TRUE
11/10/1949,0.27,51,42,TRUE
11/11/1949,0.69,55,45,TRUE
11/12/1949,1.38,50,44,TRUE
11/13/1949,0.23,54,49,TRUE
11/14/1949,0.12,56,47,TRUE
11/15/1949,0,53,44,FALSE
11/16/1949,0,66,43,FALSE
11/17/1949,0,56,43,FALSE
11/18/1949,0.06,53,45,TRUE
11/19/1949,0,50,45,FALSE
11/20/1949,0,49,39,FALSE
11/21/1949,0,54,35,FALSE
11/22/1949,0.67,54,39,TRUE
11/23/1949,0.22,52,47,TRUE
11/24/1949,0.15,58,48,TRUE
11/25/1949,0.3,59,47,TRUE
11/26/1949,1.17,61,48,TRUE
11/27/1949,0.37,54,46,TRUE
11/28/1949,0.42,49,43,TRUE
11/29/1949,0.37,50,40,TRUE
11/30/1949,0.03,52,43,TRUE
12/1/1949,0.43,55,48,TRUE
12/2/1949,0,49,38,FALSE
12/3/1949,0,45,30,FALSE
12/4/1949,0,54,41,FALSE
12/5/1949,0.1,47,35,TRUE
12/6/1949,0,45,31,FALSE
12/7/1949,0,45,34,FALSE
12/8/1949,0.02,44,27,TRUE
12/9/1949,0.07,43,32,TRUE
12/10/1949,0.01,38,25,TRUE
12/11/1949,0.13,34,24,TRUE
12/12/1949,0.11,37,31,TRUE
12/13/1949,0,45,36,FALSE
12/14/1949,0,49,38,FALSE
12/15/1949,0.15,43,33,TRUE
12/16/1949,0.21,40,35,TRUE
12/17/1949,0.1,42,33,TRUE
12/18/1949,0.3,34,24,TRUE
12/19/1949,0,30,17,FALSE
12/20/1949,0.07,37,22,TRUE
12/21/1949,0.02,44,35,TRUE
12/22/1949,0.01,47,42,TRUE
12/23/1949,1.14,47,36,TRUE
12/24/1949,0.03,42,32,TRUE
12/25/1949,0.23,43,37,TRUE
12/26/1949,0.12,42,39,TRUE
12/27/1949,1.27,48,41,TRUE
12/28/1949,0.26,52,44,TRUE
12/29/1949,0.22,54,32,TRUE
12/30/1949,0.23,38,29,TRUE
12/31/1949,0.07,36,29,TRUE
1/1/1950,0.25,32,24,TRUE
1/2/1950,0.01,24,6,TRUE
1/3/1950,0.1,26,6,TRUE
1/4/1950,0,28,14,FALSE
1/5/1950,0.08,38,22,TRUE
1/6/1950,0.95,39,35,TRUE
1/7/1950,0.31,37,33,TRUE
1/8/1950,0.22,33,31,TRUE
